contract_id,lane_calc,rating_zone,from_loccode,from_city,from_state,from_zip,from_country,to_loccode,to_city,to_state,to_zip,to_country,scac,service,mode,break_1_field,break_1_min,break_1_max,break_2_field,break_2_min,break_2_max,rate_field,rate_calc,rate,accessorial1_field,accessorial1_calc,accessorial1_rate,total_min,total_max,max_stops,transit_method,transit_value
Knight Transportation TL CAR,CTRY-CTRY,,,,,,US,,,,,US,KNIG,Standard,TL,Weight,5000,48000,,,,Mileage,Per,1.65,,,,520,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,0,500,Weight,20000,48000,Weight C,Per,21.021,,,,700.7,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,0,500,Weight,0,499,Weight C,Per,68.068,,,,68.07,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,0,500,Weight,500,999,Weight C,Per,62.062,,,,85.09,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,0,500,Weight,1000,1999,Weight C,Per,52.052,,,,220.22,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,0,500,Weight,2000,4999,Weight C,Per,42.042,,,,350.35,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,0,500,Weight,5000,9999,Weight C,Per,38.038,,,,350.35,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,0,500,Weight,10000,19999,Weight C,Per,33.033,,,,350.35,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,500.1,1500,Weight,20000,48000,Weight C,Per,22.022,,,,750.75,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,500.1,1500,Weight,0,499,Weight C,Per,70.07,,,,70.07,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,500.1,1500,Weight,500,999,Weight C,Per,65.065,,,,90.09,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,500.1,1500,Weight,1000,1999,Weight C,Per,55.055,,,,240.24,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,500.1,1500,Weight,2000,4999,Weight C,Per,45.045,,,,370.37,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,500.1,1500,Weight,5000,9999,Weight C,Per,41.041,,,,370.37,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,500.1,1500,Weight,10000,19999,Weight C,Per,36.036,,,,370.37,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,1500.1,6000,Weight,20000,48000,Weight C,Per,24.024,,,,75.08,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,1500.1,6000,Weight,0,499,Weight C,Per,72.072,,,,72.07,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,1500.1,6000,Weight,500,999,Weight C,Per,68.068,,,,92.09,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,1500.1,6000,Weight,1000,1999,Weight C,Per,58.058,,,,255.26,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,1500.1,6000,Weight,2000,4999,Weight C,Per,48.048,,,,390.39,,,,
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,1500.1,6000,Weight,5000,9999,Weight C,Per,51.051,,,,390.39,,,,
